State,Electric (EV),Plug-In Hybrid Electric (PHEV),Hybrid Electric (HEV),Biodiesel,Ethanol/Flex (E85),Compressed Natural Gas (CNG),Propane,Hydrogen,Methanol,Gasoline,Diesel,Unknown Fuel,Year
Alabama,8700,4400,50800,48100,449800,100,100,0,0,4077100,126100,30300,2022
Alaska,2000,700,9000,8700,48600,0,0,0,0,457100,30500,5500,2022
Arizona,65800,20400,150800,61200,446000,600,800,0,0,5476100,198700,70100,2022
Arkansas,5100,2500,30600,33300,283900,200,0,0,0,2229500,89700,10600,2022
California,903600,361100,1514000,183900,1338000,10300,1500,14900,0,31059000,725300,8200,2022
Colorado,59900,24000,131800,62100,346400,300,100,0,0,4506300,206800,49400,2022
Connecticut,22000,13100,64500,10100,139800,200,0,0,0,2636300,44100,21200,2022
Delaware,5400,2800,19500,4700,66200,0,0,0,0,795400,14500,5100,2022
District of Columbia,5900,3200,17200,400,17800,100,0,0,0,272200,2000,600,2022
Florida,168000,45800,338700,150900,1137200,400,100,0,0,15846500,343500,97200,2022
Georgia,60100,18100,147200,82500,745000,300,300,0,0,8204500,205900,78500,2022
Hawaii,19800,5600,32600,3100,39900,0,0,0,0,960000,15500,4000,2022
Idaho,5900,3500,36500,40300,133300,100,100,0,0,1545500,136000,33000,2022
Illinois,66900,25700,244100,55400,807900,300,0,0,0,8606400,171300,59500,2022
Indiana,17700,10100,100900,49100,587100,300,0,0,0,5116800,153500,58900,2022
Iowa,6200,4900,48600,37000,338900,100,0,0,0,2521300,103000,58200,2022
Kansas,7600,4300,43500,25000,260100,200,100,0,0,2159200,87000,17600,2022
Kentucky,7600,4400,55800,32300,363800,300,0,0,0,3368800,115800,25800,2022
Louisiana,5900,2900,31400,60100,397500,100,0,0,0,3159000,115400,19900,2022
Maine,5000,5700,28900,10500,109100,0,0,0,0,1028100,26800,7900,2022
Maryland,46100,22900,146200,30300,326900,300,0,0,0,4373900,88400,31800,2022
Massachusetts,49400,30500,158600,19500,297000,200,0,0,0,4777600,59300,30200,2022
Michigan,33100,24300,122800,62800,905700,300,100,0,0,7071800,175400,49600,2022
Minnesota,24300,11900,105300,46900,531500,100,0,0,0,4180500,127300,25600,2022
Mississippi,2400,1600,22300,31600,302000,100,0,0,0,2275400,75400,9100,2022
Missouri,17900,10400,95100,61300,576700,1200,100,0,0,4444600,176200,38900,2022
Montana,3300,1700,17100,33200,98000,0,0,0,0,765400,69900,11000,2022
Nebraska,4600,2900,27300,25600,201800,100,0,0,0,1576900,75100,25900,2022
Nevada,32900,8800,59100,24700,130700,200,100,0,0,2157700,85200,21300,2022
New Hampshire,7000,4800,31100,12900,95400,100,0,0,0,1180700,29400,12300,2022
New Jersey,87000,26800,142600,25900,404200,300,0,0,0,6339500,85500,36900,2022
New Mexico,7100,3900,37600,28600,155900,100,100,0,0,1584500,88000,23600,2022
New York,84700,59800,259600,48400,633100,400,100,0,0,9987400,152000,80800,2022
North Carolina,45600,18800,175300,71300,675300,300,100,0,0,7700300,209600,73700,2022
North Dakota,600,600,6600,18300,93500,0,0,0,0,614300,43800,7800,2022
Ohio,34100,17800,165700,63400,868500,700,100,0,0,8868300,197000,62700,2022
Oklahoma,16300,11500,47000,60200,380800,2000,300,0,0,3538100,147500,46200,2022
Oregon,47000,22500,138900,50200,186300,100,100,0,0,3065400,216100,53200,2022
Pennsylvania,47400,25400,199600,68100,698500,500,100,0,0,8888900,191700,45100,2022
Rhode Island,4300,3400,18600,2800,43100,0,0,0,0,782500,11200,6100,2022
South Carolina,13500,6700,66800,38300,411400,100,100,0,0,4254700,107600,45500,2022
South Dakota,1200,1000,10300,20000,105700,0,0,0,0,739400,53000,14500,2022
Tennessee,22000,8900,94000,45700,519400,100,100,0,0,5536100,157700,38600,2022
Texas,149000,42800,361800,420800,2398800,1400,1400,0,0,21065800,771000,133200,2022
Utah,28000,10200,69300,61500,189900,2300,600,0,0,2454700,155000,26000,2022
Vermont,5300,4200,17800,6400,40000,0,0,0,0,501500,14700,5100,2022
Virginia,56600,21700,198400,40000,496200,300,0,0,0,6643300,153700,31900,2022
Washington,104100,31400,270200,67500,348300,100,100,0,0,5650700,277400,52700,2022
West Virginia,1900,1400,18300,15600,127500,100,0,0,0,1267500,45700,10900,2022
Wisconsin,15700,10000,105200,46500,549700,300,0,0,0,4577400,144500,26900,2022
Wyoming,800,600,6900,19100,58600,0,0,0,0,483000,61200,14200,2022
Alabama,4700,3300,42500,40500,449500,500,100,0,0,4051000,123500,32000,2021
Alaska,1300,500,7300,7600,50100,100,0,0,0,464200,31700,6300,2021
Arizona,40700,15500,132200,51000,460400,900,900,0,0,5395300,191800,70500,2021
Arkansas,2400,1800,26100,28700,290200,300,0,0,0,2241600,88800,11000,2021
California,563100,315300,1355900,163600,1343200,12600,1500,11800,0,30512600,710500,10400,2021
Colorado,37000,16100,113600,53800,346700,600,100,0,0,4456600,208400,53500,2021
Connecticut,13300,9200,55400,8800,140700,400,0,0,0,2578400,44300,21500,2021
Delaware,3000,2000,16700,4100,67400,100,0,0,0,796400,14600,5300,2021
District of Columbia,3700,2500,16100,300,17400,100,0,0,0,278900,2100,600,2021
Florida,95600,32200,287000,129300,1154600,600,100,0,0,15595900,336900,97400,2021
Georgia,34000,13600,128200,70200,745200,700,300,0,0,8123100,203200,81200,2021
Hawaii,14200,4500,28800,2800,42200,100,0,0,0,968200,15700,4300,2021
Idaho,3500,2500,30400,33400,132500,300,100,0,0,1545500,133500,29400,2021
Illinois,36500,18300,214300,48100,822300,800,100,0,0,8657800,169900,59600,2021
Indiana,10400,7500,88200,41100,587400,800,100,0,0,5149000,151600,61000,2021
Iowa,3700,3600,42500,31100,343600,300,0,0,0,2525400,100900,59600,2021
Kansas,4500,3300,38300,21400,260900,400,100,0,0,2158100,85900,19900,2021
Kentucky,4200,3100,48300,27100,365800,600,0,0,0,3422900,116200,28300,2021
Louisiana,3200,2000,26000,54400,413200,300,0,0,0,3185200,115000,20700,2021
Maine,3000,4200,25500,9100,112200,100,0,0,0,1044300,27400,8900,2021
Maryland,25600,17200,130900,27700,347200,400,0,0,0,4380600,89500,32100,2021
Massachusetts,30500,22200,138800,17500,306900,400,0,0,0,4816400,59700,30800,2021
Michigan,17500,17200,106400,52100,912200,500,100,0,0,7067400,173200,51600,2021
Minnesota,15000,8900,95200,40100,548700,300,0,0,0,4342800,128700,29800,2021
Mississippi,1300,1100,18700,27400,305000,200,0,0,0,2289900,76000,9600,2021
Missouri,10000,7200,85600,55800,602500,1800,100,0,0,4582100,172100,40700,2021
Montana,1600,1100,13900,27500,100500,100,0,0,0,761800,70900,12200,2021
Nebraska,2700,2000,23700,21600,202500,200,0,0,0,1574900,73800,27300,2021
Nevada,17400,6300,50200,21300,133600,300,100,0,0,2140700,84700,22800,2021
New Hampshire,4000,3500,27000,11300,102800,200,0,0,0,1187400,29300,12700,2021
New Jersey,47800,18500,121500,23900,412200,500,100,0,0,6346100,86400,38100,2021
New Mexico,4200,2800,32800,25200,156900,200,100,0,0,1569000,87600,24500,2021
New York,51900,44600,221600,43000,663700,900,100,0,0,10116400,152400,83200,2021
North Carolina,25200,13500,151600,61000,687700,800,200,0,0,7685800,210000,77000,2021
North Dakota,400,400,5400,16000,95700,100,0,0,0,607000,42800,9000,2021
Ohio,21200,13100,143700,54600,875100,1200,100,0,0,9019200,199200,68800,2021
Oklahoma,7100,6900,38700,50700,391100,2400,300,0,0,3429700,148500,48700,2021
Oregon,30300,16900,123200,43900,193700,300,100,0,0,3094700,217800,63900,2021
Pennsylvania,26800,17800,168200,58600,723000,1200,100,0,0,9035500,195000,51000,2021
Rhode Island,2500,2400,16300,2500,44100,100,0,0,0,796100,11300,6300,2021
South Carolina,7400,4700,57400,32100,411800,400,100,0,0,4200600,104900,46000,2021
South Dakota,700,700,8700,16900,105000,100,0,0,0,726200,51100,15700,2021
Tennessee,12200,6300,79800,38400,511000,500,100,0,0,5396100,150200,39600,2021
Texas,80900,30600,304700,376300,2422300,2200,1600,0,0,20599100,765100,131100,2021
Utah,16500,7500,58500,51600,190200,2600,700,0,0,2428900,153800,27400,2021
Vermont,3400,3200,15800,5600,42000,100,0,0,0,511900,15000,5400,2021
Virginia,30700,15800,176500,35300,506600,600,100,0,0,6661000,154300,32700,2021
Washington,66800,24300,240000,59000,359700,600,100,0,0,5792000,283600,64400,2021
West Virginia,1000,1000,14500,13900,129800,200,0,0,0,1268300,46100,10900,2021
Wisconsin,9300,7700,93500,39800,556500,700,100,0,0,4639100,143300,29900,2021
Wyoming,500,400,5700,17100,59400,100,0,0,0,482400,62100,15600,2021
Alabama,2900,2100,36300,0,567600,15100,0,0,0,3863500,154100,41600,2020
Alaska,900,400,6200,0,64000,2700,0,0,0,460900,39600,11400,2020
Arizona,28800,11200,115400,0,584800,13800,0,0,0,5202200,226000,103400,2020
Arkansas,1300,1100,22400,0,392800,7200,0,0,0,2093700,111100,15700,2020
California,425300,265500,1228700,0,1745100,75300,0,14000,300,29642700,825900,116700,2020
Colorado,24700,10800,96500,0,447000,11400,0,0,0,4263300,249700,89600,2020
Connecticut,9000,6200,49600,0,199300,2000,0,0,0,2577600,53000,26100,2020
Delaware,1900,1500,14800,0,89700,1000,0,0,0,780600,17900,6600,2020
District of Columbia,2400,1600,14300,0,21900,200,0,0,0,274400,2300,1200,2020
Florida,58200,22400,248500,0,1513000,13100,0,0,0,14925500,433700,127300,2020
Georgia,23500,9400,109000,0,919400,21000,0,0,0,7665100,252800,97600,2020
Hawaii,10700,3200,26400,0,52700,900,0,100,0,948300,18000,6000,2020
Idaho,2300,1700,24900,0,156300,9900,0,0,0,1480700,155700,26900,2020
Illinois,26000,13000,190600,0,1154700,12100,0,0,0,8533600,213600,90600,2020
Indiana,7000,5300,75300,0,774400,13400,0,0,0,4916700,183700,70300,2020
Iowa,2300,2600,36400,0,459900,9500,0,0,0,2402200,125300,69100,2020
Kansas,3100,2400,34000,0,324700,10600,0,0,0,2086800,102900,27700,2020
Kentucky,2600,2100,41300,0,458800,10900,0,0,0,3281300,133700,36500,2020
Louisiana,2000,1200,21600,0,556600,7700,0,0,0,3039100,164900,28000,2020
Maine,1900,2800,22400,0,148500,1200,0,0,0,1001700,34600,10900,2020
Maryland,18000,11900,109700,0,406600,4100,0,0,0,4136000,111700,37900,2020
Massachusetts,21000,15600,122600,0,418900,2100,0,0,0,4697000,75500,36800,2020
Michigan,10600,12500,93400,0,1348900,11200,0,0,0,6728600,217400,62100,2020
Minnesota,10400,6700,83800,0,722800,9100,0,0,0,4162400,161700,43000,2020
Mississippi,800,700,15800,0,381000,5000,0,0,0,2197800,99600,13800,2020
Missouri,6700,5300,77600,0,744100,14000,0,0,0,4442300,212200,52100,2020
Montana,900,600,11200,0,130600,3600,0,0,0,714000,93100,16400,2020
Nebraska,1800,1300,20200,0,262800,7200,0,0,0,1482500,90400,31700,2020
Nevada,11000,4200,42900,0,183700,5100,0,0,0,2036400,99100,28900,2020
New Hampshire,2700,2500,23300,0,135900,1200,0,0,0,1159600,37600,15800,2020
New Jersey,30400,12800,104600,0,548400,2900,0,0,0,6227300,106700,47000,2020
New Mexico,2600,1900,28500,0,197900,6000,0,0,0,1490700,108100,30300,2020
New York,32600,32600,192700,0,1020500,6200,0,0,0,9890800,189900,102600,2020
North Carolina,16200,9300,133400,0,878800,19700,0,0,0,7376600,256300,93400,2020
North Dakota,200,300,4400,0,135600,3700,0,0,0,567200,57700,12500,2020
Ohio,14500,9500,124100,0,1153500,14100,0,0,0,8690900,240900,88900,2020
Oklahoma,3400,1800,30100,0,574100,14800,0,0,0,3126100,190800,60600,2020
Oregon,22800,11800,106100,0,222000,10900,0,0,0,2990200,246200,82600,2020
Pennsylvania,17500,12800,140800,0,953200,9600,0,0,0,8781500,241000,69500,2020
Rhode Island,1600,1600,14100,0,59100,500,0,0,0,785400,13300,7500,2020
South Carolina,4400,3000,49700,0,515600,12200,0,0,0,4004100,127200,56200,2020
South Dakota,400,500,7200,0,139400,4100,0,0,0,688400,65500,19500,2020
Tennessee,7800,4300,68700,0,638600,16500,0,0,0,5218400,181600,50900,2020
Texas,52200,20400,262300,0,3250000,43600,0,100,0,19609700,1107000,163600,2020
Utah,11200,5200,49800,0,231700,8700,0,0,0,2346000,191400,35700,2020
Vermont,2200,2300,13900,0,58800,500,0,0,0,501000,19700,6800,2020
Virginia,20500,11200,157800,0,618500,12200,0,0,0,6646500,183700,46800,2020
Washington,50500,18400,211300,0,424000,18700,0,0,0,5687600,326300,95300,2020
West Virginia,600,700,11900,0,178200,2800,0,0,0,1216500,57800,14200,2020
Wisconsin,6300,5900,82500,0,755700,8700,0,0,0,4494600,175200,41900,2020
Wyoming,300,300,4700,0,77100,3600,0,0,0,456200,77400,18700,2020
